               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 105,             0.02218,           0.0067869,            0.006662,             0.98724,                   1,               0.995,             0.75707,            0.021766,           0.0051694,           0.0034805,            0.004852,            0.004852,            0.004852
                 106,             0.02466,           0.0071179,           0.0073424,              0.9877,                   1,               0.995,             0.80049,            0.018926,           0.0049393,           0.0035159,           0.0048025,           0.0048025,           0.0048025
                 107,            0.021776,           0.0070341,            0.006365,             0.98081,                   1,               0.995,               0.774,            0.019807,           0.0049628,           0.0034682,            0.004753,            0.004753,            0.004753
                 108,            0.025032,           0.0065338,           0.0081538,             0.98515,                   1,               0.995,             0.81939,             0.01794,            0.004873,           0.0033845,           0.0047035,           0.0047035,           0.0047035
                 109,             0.02387,           0.0073022,           0.0066287,             0.98618,                   1,               0.995,             0.78218,            0.019496,           0.0050414,           0.0032206,            0.004654,            0.004654,            0.004654
                 110,             0.02333,            0.007165,           0.0052904,             0.98596,                   1,               0.995,             0.76276,             0.01837,            0.004936,           0.0031974,           0.0046045,           0.0046045,           0.0046045
                 111,             0.02165,           0.0065801,           0.0062613,             0.94952,                   1,             0.99083,             0.81541,             0.01891,           0.0049447,           0.0030654,            0.004555,            0.004555,            0.004555
                 112,            0.022279,           0.0074271,           0.0053184,             0.99035,                   1,               0.995,             0.79334,            0.019617,           0.0050868,           0.0029857,           0.0045055,           0.0045055,           0.0045055
                 113,            0.022115,           0.0063904,           0.0053869,              0.9874,                   1,               0.995,             0.78846,             0.01929,           0.0051522,           0.0029224,            0.004456,            0.004456,            0.004456
                 114,             0.02275,           0.0061107,           0.0049087,             0.98745,                   1,               0.995,             0.75552,            0.018452,           0.0049824,           0.0029235,           0.0044065,           0.0044065,           0.0044065
                 115,            0.022368,            0.006842,           0.0055679,             0.97059,                   1,             0.99313,             0.81736,            0.017918,           0.0048811,           0.0029235,            0.004357,            0.004357,            0.004357
                 116,            0.022162,           0.0071069,           0.0054688,             0.99073,                   1,               0.995,             0.82549,            0.017428,           0.0048888,           0.0029227,           0.0043075,           0.0043075,           0.0043075
                 117,            0.021624,           0.0058274,           0.0044089,             0.98961,                   1,               0.995,             0.80226,            0.018444,           0.0048015,            0.002933,            0.004258,            0.004258,            0.004258
                 118,            0.022334,           0.0066166,           0.0052416,             0.98927,                   1,               0.995,             0.80451,            0.016862,           0.0047648,           0.0029765,           0.0042085,           0.0042085,           0.0042085
                 119,            0.021351,           0.0064254,           0.0047611,             0.98923,                   1,               0.995,             0.78346,             0.01754,           0.0049586,           0.0030003,            0.004159,            0.004159,            0.004159
                 120,            0.021713,           0.0073928,           0.0047465,             0.98295,                   1,               0.995,             0.79977,            0.017527,             0.00474,           0.0029982,           0.0041095,           0.0041095,           0.0041095
                 121,            0.022219,           0.0064037,           0.0052731,             0.98519,                   1,               0.995,             0.76834,            0.019433,           0.0049939,           0.0029826,             0.00406,             0.00406,             0.00406
                 122,            0.023154,           0.0067191,           0.0045284,             0.98983,                   1,               0.995,             0.80029,            0.017115,           0.0048508,           0.0029932,           0.0040105,           0.0040105,           0.0040105
                 123,            0.021501,           0.0058098,           0.0043265,             0.98998,                   1,               0.995,              0.7653,            0.018161,            0.004833,            0.002977,            0.003961,            0.003961,            0.003961
                 124,            0.022358,           0.0072096,            0.004921,             0.99002,                   1,               0.995,             0.78641,            0.017186,           0.0047695,           0.0029612,           0.0039115,           0.0039115,           0.0039115
                 125,            0.020717,           0.0057329,            0.004425,             0.99181,                   1,               0.995,             0.81193,             0.01771,           0.0048666,            0.002931,            0.003862,            0.003862,            0.003862
                 126,            0.021458,            0.006568,           0.0071009,             0.99077,                   1,               0.995,             0.79824,            0.017639,           0.0048945,           0.0029189,           0.0038125,           0.0038125,           0.0038125
                 127,            0.019446,           0.0066774,           0.0043402,             0.99148,                   1,               0.995,             0.80155,            0.016059,           0.0045991,           0.0028413,            0.003763,            0.003763,            0.003763
                 128,            0.021781,           0.0065049,           0.0046477,             0.99183,                   1,               0.995,             0.83789,            0.017177,           0.0046116,           0.0028051,           0.0037135,           0.0037135,           0.0037135
                 129,            0.019032,            0.006143,           0.0043702,             0.98895,                   1,               0.995,              0.8141,            0.018582,           0.0047806,           0.0027571,            0.003664,            0.003664,            0.003664
                 130,            0.021591,           0.0067841,           0.0055451,              0.9882,                   1,               0.995,             0.86287,            0.014805,           0.0045762,           0.0027591,           0.0036145,           0.0036145,           0.0036145
                 131,            0.019479,           0.0059516,           0.0047163,             0.98671,                   1,               0.995,             0.80738,            0.016748,           0.0047722,           0.0027269,            0.003565,            0.003565,            0.003565
                 132,            0.020644,           0.0062449,           0.0056819,              0.9866,                   1,               0.995,             0.82609,            0.016004,           0.0048063,           0.0027041,           0.0035155,           0.0035155,           0.0035155
                 133,            0.019901,            0.006709,           0.0040894,             0.98925,                   1,               0.995,             0.81786,            0.016103,           0.0047455,           0.0026575,            0.003466,            0.003466,            0.003466
